91ef	c919	b8b5	b348	6457	fc97	4033	62ea	db38	d6d2	771c	b9ee	37ec	9a16	9b5e	0e91
3fc1	3630	4aad	ed40	80e7	937b	424b	db6d	7b47	061a	ab77	0d9f	17d6	1364	166c	9c15
2a57	016e	ccf1	6df5	52c9	a363	e067	7a7c	c3a8	6aac	54fb	9482	9906	10dd	4147	3de7
9334	7297	b068	9987	4c96	d10f	0476	d9d8	74df	698a	a6bd	8f32	687f	1245	41c3	15b7
0c49	bdc9	83ae	a59e	161c	25bc	fc26	48df	44f7	94a4	0e31	041c	41c2	a34b	e6fc	f41e
72d4	6d6a	5945	677e	817f	b723	a504	60d5	19d9	b579	4b08	b4ce	8921	592d	0ff1	f2b4
5dfc	26d3	35cb	939c	4114	b650	6e40	216c	d916	b7b8	586a	9781	5e4c	ab82	77f4	b539
fef4	7f56	cc80	d114	914b	e57e	4568	bbff	02b0	5c5e	d6d6	c167	4ec7	33ef	4e03	eccf
c7c5	1b00	319b	e700	ac32	0c2f	7f7e	d434	6d2c	0be2	d4cc	0a83	ed54	be9b	e491	2fd5
4a5c	b357	51b6	9a26	da7f	ec1c	625a	aba2	86ef	8d97	0f0c	9483	2690	8052	ae75	cf9d
59c6	22d1	870f	5eda	3fd3	93f2	4eba	0bfa	244a	8048	4475	3cb3	9773	8073	1da0	73a6
621f	8c98	f562	e7b4	8089	afc5	78be	8223	0f1a	641f	6cf4	9512	847f	ace1	f21c	0325
aa0c	4168	f64d	f54d	7a3c	a336	fe5d	dc45	ba7c	178a	73b1	86ba	0374	e26f	95fe	bc23
f73a	626b	0f00	78f6	c36f	c080	7086	f721	0149	9cb8	7d14	98a6	be7a	36af	bd9b	4a23
3375	1883	825d	75d7	f9d1	a574	97ee	d9e9	1bbb	5a15	602a	8a15	aaec	bfe8	e0f6	a2f5
0eb7	199d	74e4	51c5	2555	51f4	d22e	fe3c	db04	37f4	c69e	57b1	f353	0698	ed53	99c0
1bf6	999b	bfa4	48a9	4b63	af2d	5d6a	77dc	2fde	2fd3	1c8e	2bfe	934f	3039	191c	1151
2aea	ba58	0a9f	b3f1	8935	4e25	a9ba	02ee	0a88	4b10	8d09	4a6f	1b38	5c07	d94c	f34c
7fdb	6f13	2ecd	9ef9	9914	d541	32ac	7cbc	4598	f0ba	129a	3641	7e2c	702d	f103	23c9
23b2	55e5	6448	4b87	9603	7c74	dcc9	d466	45a8	ea48	2223	4d6f	5b9c	c93e	c815	ee64
6fa0	50c7	b5aa	8173	9113	8800	32e3	7304	236a	ac18	b3ef	928b	1aac	299f	b350	28d5
45c0	c2fb	2328	01e3	3ff7	7720	73cf	a407	61b6	29db	c46c	a86a	9588	09d2	8a27	4749
7f3d	ead7	b07c	48c4	d465	1b7e	2cf3	6f26	9d01	73d7	5f3f	e78e	1fb1	2216	2a9c	f816
5f2b	3941	6102	531f	1614	d492	dfcc	44d6	d7f5	4dde	2ed6	b8cb	01b1	e874	7906	0cef
ac52	c2a1	767d	94b5	6d00	3060	316b	d59a	4ecc	d72c	e46d	6690	33c1	8a43	0980	613e
f558	9424	7140	eab2	e600	64e5	3421	01e3	b78a	413f	8377	2577	2f44	0554	1eae	eecc
11a4	d777	b9d8	8595	549d	02c9	216a	ab62	867d	acb2	f83a	3229	b939	cda5	06b0	98c0
385f	cfa7	baca	31a6	d18e	e622	113b	113f	cbcf	a40a	1d64	a5b2	7cb9	1377	0298	89a8
45be	7654	e8b2	acad	7d80	b69e	d7d4	174e	ad24	b525	f27e	b6b8	ecad	5eb8	9896	9614
6322	e9bf	144a	d157	0510	8882	a520	5aca	7c2f	336b	a112	713e	3632	231d	5b4b	3031
52b7	bab9	7ccc	8bf1	4b24	ce8e	cd1a	3a7b	d711	edd3	d268	8d7a	56b5	444f	c526	ed06
dd22	7756	8c1e	91f3	80ac	af90	6193	989d	b118	0581	6403	8e85	3a05	a0d0	3391	0b34
ac9a	793e	8997	9126	9640	d69b	d3f3	8c60	a688	18d3	6c3b	4b75	d553	9bb6	93c1	8328
27d4	233f	9fc0	880c	cc29	77fd	5a46	e301	bc1b	b610	a3db	c84d	ba87	a530	26f0	d11e
ce29	28ae	64d5	8ae0	c110	1525	fa97	c4c0	b510	832e	b2bf	9078	a30a	3ce3	0ce4	10c3
9a3e	48dc	7891	1498	6ba5	8a00	0314	813e	a139	524b	7a76	8ad6	c735	fa04	d595	3a2f
71ff	4a8f	ac4b	1507	2747	5811	9b9e	61d9	0d59	97b2	5489	064b	bbab	7ec8	f602	a610
8e6e	1be6	7916	7095	3e24	f957	ba25	26c9	d76c	e007	69a5	3521	53f7	8938	ebbc	948b
e570	e7b1	9719	df70	33d1	2509	80b5	ecb2	c323	dbd0	91ad	4133	1790	95dc	2737	5d69
cb5e	25c9	48ec	0699	7c52	3f49	99ae	00f8	404f	3783	9332	f7a5	8bd0	96de	ce6d	43fd
74f4	4049	948f	bc88	4854	0c0e	4613	df5e	5317	8953	641d	1c12	1d25	55d3	718a	2c0f
c33d	957b	f7c4	7d13	ff72	3836	1559	04a0	4026	d54c	632f	34ce	f3cc	d946	166a	90a8
f0d7	cb8b	d5c9	db72	49a1	ec6f	dc08	8c82	a21c	fb8f	1a82	2da8	d867	4946	3b83	3b7d
241b	08da	3e45	75db	babf	e296	f04c	9b94	bd9d	b30d	5732	a57b	8c04	967e	529c	cf73
1c47	1fb2	395d	76e5	efa4	d0e2	338e	bb58	d118	c63c	2285	a52e	9907	8893	5d6a	6200
8096	0b05	15f7	1648	ffab	906f	1b42	9eeb	195a	9324	a0ee	fc75	2895	3bf4	fb8b	8ccf
3c1f	3dbf	7b05	a667	c5b7	76aa	66bb	1a70	f740	1d6a	8e21	6d51	65b0	b784	53c4	7626
da6f	4b8f	25ba	d2b5	8088	4c2f	fa2e	82fa	4080	5585	6dda	1377	8f54	6946	5c24	3bed
2b45	96f0	e235	97f0	4811	6412	ccac	fbd7	f8b1	fbd4	22a2	5265	6070	1be6	dd07	2d13
fd1b	6b23	d675	390f	5702	4c0a	edde	8e1f	4ff4	2aec	4953	3968	6bdc	d8ca	5fc2	e862
786a	fdd6	f048	7883	906e	8709	1e9f	5d7c	726d	4640	dd09	fc4d	9aaa	b0b1	ad1f	a7f5
a4a1	a361	dea8	246f	df0d	b856	ad16	9fea	e74e	ec91	fa34	d89d	8771	030e	a04d	0dbf
5c8d	8593	5dee	4bed	ad57	b979	d21c	3bd3	fc2e	d81b	00b5	342b	fc1a	c7a6	f83a	b4c7
b467	565d	7fd0	0efb	1a2b	168a	41a5	8e0e	bec3	4138	b27e	fd5f	9b61	a04c	fd45	b8a7
3e1f	4f14	99c2	7536	40b4	3948	bf4e	2796	ea8a	8075	0dca	3729	6920	f5fc	c41c	29a8
2f0e	2f27	f946	b8f5	12c4	ae34	668c	2a22	5a92	ac54	c29e	183e	4f53	749d	b416	2680
4cb3	935c	dc9a	fc08	79fe	1b7a	4a66	7f55	a79b	4c0c	9564	7fc5	2890	f8a2	9df1	5b9b
374a	5dfc	ae5b	78a6	161d	e5a4	dbbc	a3f4	0991	a3c8	b704	ea42	fa8a	5a87	5649	cc9f
8ca6	7628	c310	448c	ef4e	5bb9	b62f	e07f	0c90	4aeb	a91b	b54a	0e87	4c82	bb0b	332d
b2fe	8d49	0b44	28e7	3c3d	6cf3	2e29	0eee	dd5a	17d0	d15d	67ea	1eb5	4dc8	2a0b	1676
156c	335e	9464	46ba	01a9	d041	9b08	3599	5fe7	622e	567e	63ee	bd52	4e2c	158e	22c4
f21f	12de	d536	c538	aa22	154b	b2aa	0e78	e731	a2c2	5c4e	1c3e	484e	07f7	350d	7a30
2ce7	167e	f650	e092	9018	eaf6	f69f	494b	30cc	9246	5d06	3fbf	6d51	1197	faf1	f665
5a00	7d21	9358	0976	733e	a034	99b8	26ef	9599	999a	2410	2ad5	ad31	a5b1	814a	177a
b4e5	4b64	d5c5	6cfe	27c1	036c	33d3	8029	67a4	fea6	2e0e	187b	187c	1928	3816	5c66
86e9	e16f	9858	7e65	c01c	2ea2	420d	c74d	3a10	6848	2f99	4580	704e	a3bd	6163	31da
97e2	30a7	a47a	82b8	299c	cb68	14b2	dff8	6b1d	0b47	7129	a9fa	ffbf	f88d	7c2e	0d37
77d0	ee11	0789	2378	5bd0	fbaa	f270	b21e	49fd	fa16	e83c	030c	b84b	4cb3	e883	94fb
b40d	d9a0	8ed9	f151	ac7f	9e19	cddf	1d55	a362	3202	562b	e232	d3dd	fa9e	d21c	1e51
76a8	81b7	6725	654e	3b72	0888	1a3a	3a8d	851c	2cdf	ae6b	93c7	0fc8	b508	c21b	5acb
8f4a	e8b3	a5f3	d37b	0603	f6f5	d9e3	45a1	b4e1	8563	a04d	8620	d200	87eb	00fd	9391
b197	2701	68cc	3491	0e71	7e7a	0190	229c	803d	e310	49ea	4b14	386c	8a0d	6a22	6481
e371	dba3	c292	b8fa	b03c	cde1	c472	fa6d	98fb	4497	4fdd	e66d	469e	aa16	fed3	e2d5
42e8	6c3d	d3a4	a411	56bc	5b4a	49be	f296	6707	672f	6c40	2ad2	4a54	32a6	ccba	008c
b9a1	7b39	4a9c	5970	eb3e	6981	c4ac	aa01	21b0	a6e4	9061	4566	d1b9	38a6	bc60	34f6
2bee	3b89	043e	8835	37c2	bc11	9f31	1096	26e3	e56d	0132	eed4	dff7	0bc2	bb23	61bb
7ffd	5709	9332	5055	b653	fe04	8c43	a633	5df0	779a	7ba2	dd8e	77f2	6a20	6466	c5d5
77f6	6b39	bc0f	704d	940f	30c3	0dc8	f0d6	444e	6a5e	0f1c	ef4a	8686	f41b	0668	7f39
d705	3e6d	9f8a	1083	e402	b243	73ac	ab99	40a4	fc27	9cd2	d77a	6ee0	ee60	b7d2	d9c1
bf92	1557	e0ff	696c	b247	fdbe	e413	1376	3046	bfae	3f3e	c426	0de6	ab12	1374	71f1
e478	b1b3	e294	825b	b4c8	ab52	a7b2	8855	1fe0	36b3	9e92	ecbf	5144	ec58	2e90	5511
325e	7096	e927	fb9c	1311	577e	7e2f	1adb	08c0	045e	9c88	6d42	ddfb	1bdf	5073	788a
145f	abdb	b5ab	07dc	b02c	0222	757a	c95e	fc13	b973	b1c5	560a	fd44	f1da	fd4d	b216
9227	e07b	a1c6	ef33	84ef	f41a	38df	2839	a453	b902	9564	d295	1430	612f	44ee	5085
976e	3719	13e1	7c60	ebef	9159	ed90	186e	f516	dc7d	c9ac	d827	8e0d	ed61	c97c	b3c5
2432	217b	cabc	563f	6523	4fc7	95ac	c465	9d34	9e93	3717	5387	c9da	b6f2	1554	26d8
67bb	aac4	6b0d	f612	4992	fa0b	43ac	f584	65f7	cd8b	2cc5	e6f1	e172	67a4	19c7	6ba1
ec89	aa2a	bd4d	d267	bd8f	b64a	3229	70d0	a03b	a488	5f6a	c48a	7b47	b517	84a6	bb63
a403	cd81	b057	fc05	3b74	db10	31b9	242f	f1cc	0d7a	aa83	95f1	fa4f	03da	569e	ab30
72cc	c0bd	f598	8e70	7704	ece3	4ce3	7764	bcf1	be94	5955	b63d	cd9c	4944	c83d	45a5
ac7e	a334	c11d	02f1	b160	aa54	0b85	1e60	e1f0	41a9	17ab	805e	31d2	a4aa	abce	0e88
d545	9db1	bf63	05fd	064a	6f2c	f758	acd8	5dcd	57e9	3462	2151	bac5	075f	2272	97d1
c47b	0022	507f	e4b6	34da	5e13	53cc	2289	598b	572c	68e2	64ab	b1d0	5d1b	aa99	025a
ab02	133d	e47e	9947	9f3a	8ae2	a83f	1c09	05a2	48e0	f809	cba6	5c03	5581	54af	703f
c5c2	edf9	d36c	2992	8a30	357b	a2ba	8fe5	543a	5c0c	f7fc	1839	d5a3	5836	7f47	655f
3660	93ff	8235	9d07	0c10	06f9	cbdf	2067	45ad	4662	f19c	34ea	c5b8	e0f7	d287	5c15
0179	b284	e2b5	ff9d	74dc	96f7	5d47	24a7	26d1	100f	ce27	d90d	9ede	34b5	ee0d	df16
b2ac	d1d2	4f14	5080	4271	38be	a1ef	1ba3	0e38	00b1	4398	9bfe	e759	e562	8875	8eb3
5c03	d1ed	5248	b05a	e28a	1b8e	a0b0	b178	44cc	46a1	df5d	7a32	ad83	89be	1abd	ca3a
9d5c	217a	8e8c	a856	e44b	ebc8	32f8	b3ac	3b58	27df	063e	1cad	405e	8dfa	e6ce	ada0
044f	274a	5f51	c9da	df43	4657	bfed	39fe	7eef	0355	b310	c45c	cdc9	e7d5	45b3	5461
540a	16c7	5e97	5870	a1a9	2491	07a3	c0ee	7fb6	177a	57b8	9e9c	1b2b	34b7	5579	154a
58c5	1031	8ccf	f8c1	04ad	83af	6c41	fd3b	86c2	9420	7726	a5e3	ab79	c365	7920	e570
37a4	0bf4	d09e	727e	2aef	7d06	fd27	e848	4c75	08f7	cf50	bb82	9a5c	1b2e	a1b2	2dad
4f8e	8b30	9272	42c2	c257	02ed	d6f6	1334	01b8	b4f9	7f1a	9e75	8913	5acd	7c23	72b3
08ed	1dc3	4068	3a21	5b09	d3fb	df50	9295	262c	549f	6d3b	8616	1642	a112	6b00	52dd
8540	ce77	8226	cbfb	5bde	4953	c646	f01e	ec73	f01f	b512	04ab	7c2a	c5ba	2a83	c0a1
d89d	49ac	27b7	c2d7	db84	921e	4a35	28ef	51b8	9428	ddf6	59c9	de46	d6cf	6ccf	4ec9
3956	6247	9b7c	cd15	f667	6141	b686	3751	2b52	b7bb	c8cd	97a9	ec85	dcaa	c510	5ab1
272c	3a66	e168	47ed	46e3	d835	5575	b7e9	baad	53c7	baa7	139d	9ea9	dde8	853d	3152
15ba	da89	5275	dc06	0455	ba2a	8da7	ed74	48b6	70e0	f67c	72cb	2e8d	5e37	47a4	f085
eb3c	6393	979e	830f	d33c	2ec4	8a1a	9eae	1def	1fc8	886a	45c3	4d00	dcaf	8f5d	ebbf
d9dc	c95d	89b9	1a8c	00c6	08ab	ae6d	54d9	63ce	592d	5005	17ce	32cd	95a2	8ade	0dc6
c3a4	7df9	9fc8	394e	1313	8e4f	1806	21d4	102b	fc56	ef26	73bc	1e48	5f8c	f999	8522
33c3	07ca	d6a2	fc37	0f39	767a	fbd0	8979	629b	d0cd	1143	4f7a	bf16	f7bf	6ace	fd41
dd8f	ccde	96e7	f71e	3ca9	e393	ca07	30ef	bc1a	9e6b	eb35	474c	c4d6	4dee	898c	bd13
f13a	a02b	1620	6f79	bb50	7c3f	2602	8e42	ad4b	724c	8093	6118	39ce	0fda	9500	5e3c
0e10	5561	6550	6ed0	0d35	e0be	4317	1346	a8aa	30c8	6e6f	8d9c	12ac	43c3	2d65	1344
0aca	13f0	b53c	8fc7	83a4	d0be	4922	3a26	8b56	b91b	3538	87dc	ded5	520c	0a73	7e4b
5abc	7e11	1b36	301d	6cbb	58d5	34aa	47e4	9298	aacd	5b2e	3c19	fac8	5568	35bc	067e
00c3	e915	1d95	1533	d61e	fe2d	3912	94e3	f887	dfdd	0825	7ca1	9ddf	2ad7	146b	e5cf
56b8	20ec	1abf	40c1	1ea8	6c69	f0d6	6ed6	3b58	dcab	cac1	7b4e	5faf	3f8d	e281	f6c1
6f7b	2abf	258c	fe8c	bfb8	c417	1789	cee9	52a8	d4ec	4bf7	e1ae	d394	cd5b	50f9	ae3c
23b3	1d2e	424c	d46d	e677	07bc	6fe9	f363	e0a6	a943	6e32	7206	149a	9f73	8261	1a93
cb77	9dcd	1346	0597	e571	9f61	7e66	0dbc	d11f	f865	dcef	af8f	9600	9389	42bc	5217
ed38	68f5	3cce	05e1	460e	2a7f	0342	134d	c365	04b1	cf56	7e9a	7b29	dff7	9719	a6c3
b4ad	4b3c	475a	7969	51fd	f278	8392	21a2	3fc3	2c91	eeb8	b983	0691	bf2e	2900	c61d
e8db	967d	92e9	73b5	c8d0	90c2	0b6b	344a	bd34	346b	5ab4	0fce	88e6	d90a	4db6	3b22
e4c0	3007	d593	09bd	8c20	5db7	348d	a712	a3d8	8c14	5795	8bb7	ca79	e642	3aa6	0476
42f1	57e3	b926	8590	d72f	de3a	e488	7f79	38f7	ee2e	27e9	4795	09a7	2541	d58e	d608
622f	42e3	b5af	66ae	f513	7933	f360	7ff1	7a8f	4fb7	7263	966a	56b6	2c5b	7004	4c3d
c0e6	e0d4	6ee4	5109	af83	448b	53de	a1e3	bee3	6326	c877	180d	ddf3	5fba	d789	f76e
bcd4	b4c0	ca1c	d233	c2a0	c020	7dd7	5156	4a5f	ec96	f786	3f78	05d7	a679	d0e1	5223
5808	8dc0	5bda	48b9	3f0e	a301	5e96	6e81	a6f3	c0f9	dcf4	87d4	7965	1c3d	2cde	9772
af06	30fa	074b	197e	35a1	cd84	4454	7263	fbb1	85d2	bb80	5075	e229	3de8	8a3a	98b7
ce31	fc77	87e9	3819	b5ed	e0cd	a516	8ed7	1bef	5883	9c19	983a	3200	dee7	3331	bef0
f6f0	8a56	b3cf	c954	2beb	2560	3b24	8f37	3e91	4f2d	452a	e6ce	5223	808f	dd18	7654
99bf	0053	1e1b	d990	2cdc	ac32	1f1f	3069	e0df	3395	cfdc	cdb0	9fcb	b262	7b88	26c4
02a7	bd38	5caf	ecb3	61d7	413d	07c4	5fa6	2f7c	ee93	fd71	7d04	2c9b	e492	d4b3	8fea
1fc6	01d9	c0eb	e14f	37ac	dfa2	3c1f	dc78	d57c	de36	4f8d	28da	f40f	45d2	d84c	34e3
611d	56cd	0257	183f	44d4	d2fc	49bd	1127	86ce	08fd	d051	6748	6556	ddfe	294e	02ed
d9f2	f659	bdab	db65	cedd	7258	6743	603d	0fc7	707f	08bb	2a88	8fdf	0de6	6bfa	f8bf
9d89	6b56	7c34	44d1	3fa2	ae1c	d082	4e8e	7df3	463b	18e7	bdb0	47a7	e3ca	120a	2d38
3598	7326	1d01	8ae3	13f7	cb4a	9f51	7c6c	06af	85ef	d3d6	e42f	875e	2c0e	8998	b048
ef65	c25c	41a6	65b5	58cc	da18	3a6d	9488	4a72	7e89	2f85	3345	94e9	3783	51b4	101d
a403	ae70	34d2	2910	171c	1190	5cc5	c759	c386	3bdc	ea01	ddf9	e2c6	674d	e39b	ae7e
6eae	4719	d539	0d8f	b207	73e1	94f6	c00d	e879	c44b	e728	74a8	4e6b	87cb	e19e	cc8e
34b2	6cde	b4e0	97cb	a313	a999	de79	6e45	55f0	081b	2fa7	eac9	afcd	4759	8684	5602
9c5c	b5ec	3be1	7f7d	a715	1509	434c	93a3	5a21	ae18	e2ba	4c9e	6caf	23bc	1809	fa18
c3fc	871e	d03d	c788	251c	aac6	581e	3405	6527	8223	997c	f798	dfac	0471	ae2f	d0f7
430e	b8bf	df7e	6681	6182	c881	0b05	7c2e	b6e3	c59d	10c9	1af0	ed13	6134	3bfc	880e
e9ad	f710	f514	ff43	be66	15ba	1597	fd75	dba7	63c0	b607	946b	1190	2540	d7e7	9f6a
f94f	f7e6	a30d	e212	c31a	c008	ed50	fb9a	15b0	ad2e	4daa	7eeb	7643	bc24	a012	fcab
5006	81ca	895c	1bda	8879	4498	fb3f	72fc	0e35	c55f	5184	740c	a660	d9ce	7079	84f5
3c20	24fd	76f8	e4ac	1179	3f40	5c7f	69cc	d2d9	d1fc	98e7	de7b	6a60	e1c5	e019	2a2f
6dda	3dd8	e140	08d0	cd93	e786	a015	ce48	3a96	bb4b	3bce	64ae	3e59	a7ec	4c3f	3b1a
36b0	743a	4a65	86b6	fd04	78d3	7983	6754	d0cb	0b1a	81db	0a22	b06f	5fc4	fe9e	73a2
b264	7f00	f5de	b79e	7f71	f5eb	a958	3e16	44f4	d226	caa5	ae3f	6afa	d988	97f7	f1b0
73a7	e83c	c72a	25c8	4423	ebba	ce52	2570	2194	e16b	ead6	9a13	7ad5	44a5	f53c	472e
1016	caac	0617	8ba4	ae4c	be66	7b46	2966	3929	6c04	f9ae	e60a	ad15	905f	026a	c108
da82	de9b	8025	0801	c961	3b56	b9fe	2c1a	2b15	6579	cd24	a47e	fb63	2b74	fba6	3aff
d20a	1f1d	4c90	9fa0	e6cb	ed7e	486d	3a36	b3a1	04c5	0c8a	ef70	2c52	7b44	9ed3	74ad
0521	9544	b072	1131	4101	bf46	1167	8feb	8f60	8333	398c	aa1f	7365	6a0c	4b3b	d75d
b509	8293	3111	f1ab	a334	b2e1	2e7b	1b33	2afc	7691	fb3a	29db	3649	82a2	c458	d307
86b1	d270	3e6a	7d67	e6ef	821d	3b64	2af7	74f7	a121	9500	7d2a	6695	a117	a751	06bb
0ce5	9452	31ce	f478	8a0e	d14e	8aff	1c72	49f2	c446	66ea	a3a6	7076	e5c9	9a58	0b39
eeba	fedb	37cb	e4a2	670e	f176	a21f	194f	3998	342e	bd7c	5663	58b1	ed89	1a15	9eed
d5cd	65a8	bceb	2708	d613	4f05	0bb7	79c9	f331	c7a4	ca46	fe0f	ecf8	49d5	43d0	367f
b582	5d56	39fb	560f	c3b7	30a2	10a7	ed40	90c6	b352	4087	273b	bc9e	7466	c90e	373e

